original,this,that,order
Sibthorpiaceae=Plantaginaceae=Lamiales,Sibthorpiaceae,Plantaginaceae,Lamiales
Siphonanthaceae=Lamiaceae=Lamiales,Siphonanthaceae,Lamiaceae,Lamiales
Stachydaceae=Lamiaceae=Lamiales,Stachydaceae,Lamiaceae,Lamiales
Symphoremataceae=Lamiaceae=Lamiales,Symphoremataceae,Lamiaceae,Lamiales
Syringaceae=Oleaceae=Lamiales,Syringaceae,Oleaceae,Lamiales
Thunbergiaceae=Acanthaceae=Lamiales,Thunbergiaceae,Acanthaceae,Lamiales
Trapellaceae=Plantaginaceae=Lamiales,Trapellaceae,Plantaginaceae,Lamiales
Utriculariaceae=Lentibulariaceae=Lamiales,Utriculariaceae,Lentibulariaceae,Lamiales
Verbascaceae=Scrophulariaceae=Lamiales,Verbascaceae,Scrophulariaceae,Lamiales
Veronicaceae=Plantaginaceae=Lamiales,Veronicaceae,Plantaginaceae,Lamiales
Viticaceae=Lamiaceae=Lamiales,Viticaceae,Lamiaceae,Lamiales
Butneriaceae=Calycanthaceae=Laurales,Butneriaceae,Calycanthaceae,Laurales
Cassythaceae=Lauraceae=Laurales,Cassythaceae,Lauraceae,Laurales
Chimonanthaceae=Calycanthaceae=Laurales,Chimonanthaceae,Calycanthaceae,Laurales
Gyrocarpaceae=Hernandiaceae=Laurales,Gyrocarpaceae,Hernandiaceae,Laurales
Hortoniaceae=Monimiaceae=Laurales,Hortoniaceae,Monimiaceae,Laurales
Idiospermaceae=Calycanthaceae=Laurales,Idiospermaceae,Calycanthaceae,Laurales
Illigeraceae=Hernandiaceae=Laurales,Illigeraceae,Hernandiaceae,Laurales
Perseaceae=Lauraceae=Laurales,Perseaceae,Lauraceae,Laurales
Bulbocodiaceae=Colchicaceae=Liliales,Bulbocodiaceae,Colchicaceae,Liliales
Burchardiaceae=Colchicaceae=Liliales,Burchardiaceae,Colchicaceae,Liliales
Calochortaceae=Liliaceae=Liliales,Calochortaceae,Liliaceae,Liliales
Chionographidaceae=Melanthiaceae=Liliales,Chionographidaceae,Melanthiaceae,Liliales
Compsoaceae=Colchicaceae=Liliales,Compsoaceae,Colchicaceae,Liliales
Erythroniaceae=Liliaceae=Liliales,Erythroniaceae,Liliaceae,Liliales
Fritillariaceae=Liliaceae=Liliales,Fritillariaceae,Liliaceae,Liliales
Heloniadaceae=Melanthiaceae=Liliales,Heloniadaceae,Melanthiaceae,Liliales
Lapageriaceae=Philesiaceae=Liliales,Lapageriaceae,Philesiaceae,Liliales
Liriaceae=Liliaceae=Liliales,Liriaceae,Liliaceae,Liliales
Luzuriagaceae=Alstroemeriaceae=Liliales,Luzuriagaceae,Alstroemeriaceae,Liliales
Medeolaceae=Liliaceae=Liliales,Medeolaceae,Liliaceae,Liliales
Merenderaceae=Colchicaceae=Liliales,Merenderaceae,Colchicaceae,Liliales
Paridaceae=Melanthiaceae=Liliales,Paridaceae,Melanthiaceae,Liliales
Scoliopaceae=Liliaceae=Liliales,Scoliopaceae,Liliaceae,Liliales
Tricyrtidaceae=Liliaceae=Liliales,Tricyrtidaceae,Liliaceae,Liliales
Trilliaceae=Melanthiaceae=Liliales,Trilliaceae,Melanthiaceae,Liliales
Tulipaceae=Liliaceae=Liliales,Tulipaceae,Liliaceae,Liliales
Uvulariaceae=Colchicaceae=Liliales,Uvulariaceae,Colchicaceae,Liliales
Veratraceae=Melanthiaceae=Liliales,Veratraceae,Melanthiaceae,Liliales
Xerophyllaceae=Melanthiaceae=Liliales,Xerophyllaceae,Melanthiaceae,Liliales
Hornschuchiaceae=Annonaceae=Magnoliales,Hornschuchiaceae,Annonaceae,Magnoliales
Liriodendraceae=Magnoliaceae=Magnoliales,Liriodendraceae,Magnoliaceae,Magnoliales
Monodoraceae=Annonaceae=Magnoliales,Monodoraceae,Annonaceae,Magnoliales
Acalyphaceae=Euphorbiaceae=Malpighiales,Acalyphaceae,Euphorbiaceae,Malpighiales
Achariaceae=Malpighiales,Achariaceae,,Malpighiales
Alsodeiaceae=Violaceae=Malpighiales,Alsodeiaceae,Violaceae,Malpighiales
Androstachyaceae=Picrodendraceae=Malpighiales,Androstachyaceae,Picrodendraceae,Malpighiales
Antidesmataceae=Phyllanthaceae=Malpighiales,Antidesmataceae,Phyllanthaceae,Malpighiales
Aporusaceae=Phyllanthaceae=Malpighiales,Aporusaceae,Phyllanthaceae,Malpighiales
Ascyraceae=Hypericaceae=Malpighiales,Ascyraceae,Hypericaceae,Malpighiales
Bembiciaceae=Salicaceae=Malpighiales,Bembiciaceae,Salicaceae,Malpighiales
Bertyaceae=Euphorbiaceae=Malpighiales,Bertyaceae,Euphorbiaceae,Malpighiales
Bischofiaceae=Phyllanthaceae=Malpighiales,Bischofiaceae,Phyllanthaceae,Malpighiales
Cambogiaceae=Clusiaceae=Malpighiales,Cambogiaceae,Clusiaceae,Malpighiales
Cassipoureaceae=Rhizophoraceae=Malpighiales,Cassipoureaceae,Rhizophoraceae,Malpighiales
Chailletiaceae=Dichapetalaceae=Malpighiales,Chailletiaceae,Dichapetalaceae,Malpighiales
Cheilosaceae=Euphorbiaceae=Malpighiales,Cheilosaceae,Euphorbiaceae,Malpighiales
Crotonaceae=Euphorbiaceae=Malpighiales,Crotonaceae,Euphorbiaceae,Malpighiales
Cryptaceae=Elatinaceae=Malpighiales,Cryptaceae,Elatinaceae,Malpighiales
Erythrospermaceae=Achariaceae=Malpighiales,Erythrospermaceae,Achariaceae,Malpighiales
Euthemidaceae=Ochnaceae=Malpighiales,Euthemidaceae,Ochnaceae,Malpighiales
Flacourtiaceae=Salicaceae=Malpighiales,Flacourtiaceae,Salicaceae,Malpighiales
Garciniaceae=Clusiaceae=Malpighiales,Garciniaceae,Clusiaceae,Malpighiales
Gomphiaceae=Ochnaceae=Malpighiales,Gomphiaceae,Ochnaceae,Malpighiales
Guttiferae=Clusiaceae=Malpighiales,Guttiferae,Clusiaceae,Malpighiales
Hippomanaceae=Euphorbiaceae=Malpighiales,Hippomanaceae,Euphorbiaceae,Malpighiales
Hirtellaceae=Chrysobalanaceae=Malpighiales,Hirtellaceae,Chrysobalanaceae,Malpighiales
Homaliaceae=Salicaceae=Malpighiales,Homaliaceae,Salicaceae,Malpighiales
Hugoniaceae=Linaceae=Malpighiales,Hugoniaceae,Linaceae,Malpighiales
Hymenocardiaceae=Phyllanthaceae=Malpighiales,Hymenocardiaceae,Phyllanthaceae,Malpighiales
Ionidiaceae=Violaceae=Malpighiales,Ionidiaceae,Violaceae,Malpighiales
Kiggelariaceae=Achariaceae=Malpighiales,Kiggelariaceae,Achariaceae,Malpighiales
Legnotidaceae=Rhizophoraceae=Malpighiales,Legnotidaceae,Rhizophoraceae,Malpighiales
Leoniaceae=Violaceae=Malpighiales,Leoniaceae,Violaceae,Malpighiales
Licaniaceae=Chrysobalanaceae=Malpighiales,Licaniaceae,Chrysobalanaceae,Malpighiales
Lophiraceae=Ochnaceae=Malpighiales,Lophiraceae,Ochnaceae,Malpighiales
Luxemburgiaceae=Ochnaceae=Malpighiales,Luxemburgiaceae,Ochnaceae,Malpighiales
Macarisiaceae=Rhizophoraceae=Malpighiales,Macarisiaceae,Rhizophoraceae,Malpighiales
Malesherbiaceae=Passifloraceae=Malpighiales,Malesherbiaceae,Passifloraceae,Malpighiales
Mangiaceae=Rhizophoraceae=Malpighiales,Mangiaceae,Rhizophoraceae,Malpighiales
Marathraceae=Podostemaceae=Malpighiales,Marathraceae,Podostemaceae,Malpighiales
Medusagynaceae=Ochnaceae=Malpighiales,Medusagynaceae,Ochnaceae,Malpighiales
Mercurialaceae=Euphorbiaceae=Malpighiales,Mercurialaceae,Euphorbiaceae,Malpighiales
Micrantheaceae=Picrodendraceae=Malpighiales,Micrantheaceae,Picrodendraceae,Malpighiales
Modeccaceae=Passifloraceae=Malpighiales,Modeccaceae,Passifloraceae,Malpighiales
Nectaropetalaceae=Erythroxylaceae=Malpighiales,Nectaropetalaceae,Erythroxylaceae,Malpighiales
Paivaeusaceae=Picrodendraceae=Malpighiales,Paivaeusaceae,Picrodendraceae,Malpighiales
Pangiaceae=Achariaceae=Malpighiales,Pangiaceae,Achariaceae,Malpighiales
Paropsiaceae=Passifloraceae=Malpighiales,Paropsiaceae,Passifloraceae,Malpighiales
Philocrenaceae=Podostemaceae=Malpighiales,Philocrenaceae,Podostemaceae,Malpighiales
Piriquetaceae=Passifloraceae=Malpighiales,Piriquetaceae,Passifloraceae,Malpighiales
Poliothyrsidaceae=Salicaceae=Malpighiales,Poliothyrsidaceae,Salicaceae,Malpighiales
Porantheraceae=Phyllanthaceae=Malpighiales,Porantheraceae,Phyllanthaceae,Malpighiales
Prockiaceae=Salicaceae=Malpighiales,Prockiaceae,Salicaceae,Malpighiales
Pseudanthaceae=Picrodendraceae=Malpighiales,Pseudanthaceae,Picrodendraceae,Malpighiales
Quiinaceae=Ochnaceae=Malpighiales,Quiinaceae,Ochnaceae,Malpighiales
Ricinaceae=Euphorbiaceae=Malpighiales,Ricinaceae,Euphorbiaceae,Malpighiales
Ricinocarpaceae=Euphorbiaceae=Malpighiales,Ricinocarpaceae,Euphorbiaceae,Malpighiales
Samydaceae=Salicaceae=Malpighiales,Samydaceae,Salicaceae,Malpighiales
Sauvagesiaceae=Ochnaceae=Malpighiales,Sauvagesiaceae,Ochnaceae,Malpighiales
Scepaceae=Phyllanthaceae=Malpighiales,Scepaceae,Phyllanthaceae,Malpighiales
Scyphostegiaceae=Salicaceae=Malpighiales,Scyphostegiaceae,Salicaceae,Malpighiales
Smeathmanniaceae=Passifloraceae=Malpighiales,Smeathmanniaceae,Passifloraceae,Malpighiales
Stilaginaceae=Phyllanthaceae=Malpighiales,Stilaginaceae,Phyllanthaceae,Malpighiales
Tithymalaceae=Euphorbiaceae=Malpighiales,Tithymalaceae,Euphorbiaceae,Malpighiales
Tragiaceae=Euphorbiaceae=Malpighiales,Tragiaceae,Euphorbiaceae,Malpighiales
Trewiaceae=Euphorbiaceae=Malpighiales,Trewiaceae,Euphorbiaceae,Malpighiales
Tristichaceae=Podostemaceae=Malpighiales,Tristichaceae,Podostemaceae,Malpighiales
Turneraceae=Passifloraceae=Malpighiales,Turneraceae,Passifloraceae,Malpighiales
Uapacaceae=Phyllanthaceae=Malpighiales,Uapacaceae,Phyllanthaceae,Malpighiales
Aquilariaceae=Thymelaeaceae=Malvales,Aquilariaceae,Thymelaeaceae,Malvales
Berryaceae=Malvaceae=Malvales,Berryaceae,Malvaceae,Malvales
Bombacaceae=Malvaceae=Malvales,Bombacaceae,Malvaceae,Malvales
Brownlowiaceae=Malvaceae=Malvales,Brownlowiaceae,Malvaceae,Malvales
Byttneriaceae=Malvaceae=Malvales,Byttneriaceae,Malvaceae,Malvales
Cacaoaceae=Malvaceae=Malvales,Cacaoaceae,Malvaceae,Malvales
Chiranthodendraceae=Malvaceae=Malvales,Chiranthodendraceae,Malvaceae,Malvales
Chlaenaceae=Sarcolaenaceae=Malvales,Chlaenaceae,Sarcolaenaceae,Malvales
Cochlospermaceae=Bixaceae=Malvales,Cochlospermaceae,Bixaceae,Malvales
Daphnaceae=Thymelaeaceae=Malvales,Daphnaceae,Thymelaeaceae,Malvales
Diegodendraceae=Bixaceae=Malvales,Diegodendraceae,Bixaceae,Malvales
Dombeyaceae=Malvaceae=Malvales,Dombeyaceae,Malvaceae,Malvales
Durionaceae=Malvaceae=Malvales,Durionaceae,Malvaceae,Malvales
Gnidiaceae=Thymelaeaceae=Malvales,Gnidiaceae,Thymelaeaceae,Malvales
Gonystylaceae=Thymelaeaceae=Malvales,Gonystylaceae,Thymelaeaceae,Malvales
Grewiaceae=Malvaceae=Malvales,Grewiaceae,Malvaceae,Malvales
Grielaceae=Neuradaceae=Malvales,Grielaceae,Neuradaceae,Malvales
Helianthemaceae=Cistaceae=Malvales,Helianthemaceae,Cistaceae,Malvales
Helicteraceae=Malvaceae=Malvales,Helicteraceae,Malvaceae,Malvales
Hermanniaceae=Malvaceae=Malvales,Hermanniaceae,Malvaceae,Malvales
Hibiscaceae=Malvaceae=Malvales,Hibiscaceae,Malvaceae,Malvales
Lasiopetalaceae=Malvaceae=Malvales,Lasiopetalaceae,Malvaceae,Malvales
Melochiaceae=Malvaceae=Malvales,Melochiaceae,Malvaceae,Malvales
Monotaceae=Dipterocarpaceae=Malvales,Monotaceae,Dipterocarpaceae,Malvales
Pentapetaceae=Malvaceae=Malvales,Pentapetaceae,Malvaceae,Malvales
Phaleriaceae=Thymelaeaceae=Malvales,Phaleriaceae,Thymelaeaceae,Malvales
Philippodendraceae=Malvaceae=Malvales,Philippodendraceae,Malvaceae,Malvales
Plagianthaceae=Malvaceae=Malvales,Plagianthaceae,Malvaceae,Malvales
Rhodolaenaceae=Sarcolaenaceae=Malvales,Rhodolaenaceae,Sarcolaenaceae,Malvales
Rhopalocarpaceae=Sphaerosepalaceae=Malvales,Rhopalocarpaceae,Sphaerosepalaceae,Malvales
Schizolaenaceae=Sarcolaenaceae=Malvales,Schizolaenaceae,Sarcolaenaceae,Malvales
Sidaceae=Malvaceae=Malvales,Sidaceae,Malvaceae,Malvales
Sparmanniaceae=Malvaceae=Malvales,Sparmanniaceae,Malvaceae,Malvales
Sterculiaceae=Malvaceae=Malvales,Sterculiaceae,Malvaceae,Malvales
Tepuianthaceae=Thymelaeaceae=Malvales,Tepuianthaceae,Thymelaeaceae,Malvales
Theobromataceae=Malvaceae=Malvales,Theobromataceae,Malvaceae,Malvales
Tiliaceae=Malvaceae=Malvales,Tiliaceae,Malvaceae,Malvales
Triplobaceae=Malvaceae=Malvales,Triplobaceae,Malvaceae,Malvales
Triplochitonaceae=Malvaceae=Malvales,Triplochitonaceae,Malvaceae,Malvales
Ammanniaceae=Lythraceae=Myrtales,Ammanniaceae,Lythraceae,Myrtales
Baeckeaceae=Myrtaceae=Myrtales,Baeckeaceae,Myrtaceae,Myrtales
Blakeaceae=Melastomataceae=Myrtales,Blakeaceae,Melastomataceae,Myrtales
Blattiaceae=Lythraceae=Myrtales,Blattiaceae,Lythraceae,Myrtales
Bucidaceae=Combretaceae=Myrtales,Bucidaceae,Combretaceae,Myrtales
Chamelauciaceae=Myrtaceae=Myrtales,Chamelauciaceae,Myrtaceae,Myrtales
Circaeaceae=Onagraceae=Myrtales,Circaeaceae,Onagraceae,Myrtales
Duabangaceae=Lythraceae=Myrtales,Duabangaceae,Lythraceae,Myrtales
Epilobiaceae=Onagraceae=Myrtales,Epilobiaceae,Onagraceae,Myrtales
Eugeniaceae=Myrtaceae=Myrtales,Eugeniaceae,Myrtaceae,Myrtales
Fuchsiaceae=Onagraceae=Myrtales,Fuchsiaceae,Onagraceae,Myrtales
Henslowiaceae=Crypteroniaceae=Myrtales,Henslowiaceae,Crypteroniaceae,Myrtales
Heteropyxidaceae=Myrtaceae=Myrtales,Heteropyxidaceae,Myrtaceae,Myrtales
Isnardiaceae=Onagraceae=Myrtales,Isnardiaceae,Onagraceae,Myrtales
Jussiaeaceae=Onagraceae=Myrtales,Jussiaeaceae,Onagraceae,Myrtales
Kaniaceae=Myrtaceae=Myrtales,Kaniaceae,Myrtaceae,Myrtales
Lagerstroemiaceae=Lythraceae=Myrtales,Lagerstroemiaceae,Lythraceae,Myrtales
Lawsoniaceae=Lythraceae=Myrtales,Lawsoniaceae,Lythraceae,Myrtales
Leptospermaceae=Myrtaceae=Myrtales,Leptospermaceae,Myrtaceae,Myrtales
Lopeziaceae=Onagraceae=Myrtales,Lopeziaceae,Onagraceae,Myrtales
Melaleucaceae=Myrtaceae=Myrtales,Melaleucaceae,Myrtaceae,Myrtales
Memecylaceae=Melastomataceae=Myrtales,Memecylaceae,Melastomataceae,Myrtales
Miconiaceae=Melastomataceae=Myrtales,Miconiaceae,Melastomataceae,Myrtales
Mouririaceae=Melastomataceae=Myrtales,Mouririaceae,Melastomataceae,Myrtales
Myrobalanaceae=Combretaceae=Myrtales,Myrobalanaceae,Combretaceae,Myrtales
Myrrhiniaceae=Myrtaceae=Myrtales,Myrrhiniaceae,Myrtaceae,Myrtales
Oenotheraceae=Onagraceae=Myrtales,Oenotheraceae,Onagraceae,Myrtales
Oliniaceae=Penaeaceae=Myrtales,Oliniaceae,Penaeaceae,Myrtales
Plectroniaceae=Penaeaceae=Myrtales,Plectroniaceae,Penaeaceae,Myrtales
Psiloxylaceae=Myrtaceae=Myrtales,Psiloxylaceae,Myrtaceae,Myrtales
Punicaceae=Lythraceae=Myrtales,Punicaceae,Lythraceae,Myrtales
Rhexiaceae=Melastomataceae=Myrtales,Rhexiaceae,Melastomataceae,Myrtales
Rhynchocalycaceae=Penaeaceae=Myrtales,Rhynchocalycaceae,Penaeaceae,Myrtales
Sheadendraceae=Combretaceae=Myrtales,Sheadendraceae,Combretaceae,Myrtales
Sonneratiaceae=Lythraceae=Myrtales,Sonneratiaceae,Lythraceae,Myrtales
Terminaliaceae=Combretaceae=Myrtales,Terminaliaceae,Combretaceae,Myrtales
Trapaceae=Lythraceae=Myrtales,Trapaceae,Lythraceae,Myrtales
Emmotaceae=ex-Icacinaceae=NearGarryales,Emmotaceae,ex-Icacinaceae,NearGarryales
Iodaceae=Icacinaceae=NearGarryales,Iodaceae,Icacinaceae,NearGarryales
Phytocrenaceae=Icacinaceae=nearGarryales,Phytocrenaceae,Icacinaceae,nearGarryales
Pleurisanthaceae=Icacinaceae=nearGarryales,Pleurisanthaceae,Icacinaceae,nearGarryales
Sarcostigmataceae=Icacinaceae=nearGarryales,Sarcostigmataceae,Icacinaceae,nearGarryales
Barclayaceae=Nymphaeaceae=Nymphaeales,Barclayaceae,Nymphaeaceae,Nymphaeales
Euryalaceae=Nymphaeaceae=Nymphaeales,Euryalaceae,Nymphaeaceae,Nymphaeales
Hydropeltidaceae=Cabombaceae=Nymphaeales,Hydropeltidaceae,Cabombaceae,Nymphaeales
Nupharaceae=Nymphaeaceae=Nymphaeales,Nupharaceae,Nymphaeaceae,Nymphaeales
Aristoteliaceae=Elaeocarpaceae=Oxalidales,Aristoteliaceae,Elaeocarpaceae,Oxalidales
Averrhoaceae=Oxalidaceae=Oxalidales,Averrhoaceae,Oxalidaceae,Oxalidales
Baueraceae=Cunoniaceae=Oxalidales,Baueraceae,Cunoniaceae,Oxalidales
Belangeraceae=Cunoniaceae=Oxalidales,Belangeraceae,Cunoniaceae,Oxalidales
Callicomaceae=Cunoniaceae=Oxalidales,Callicomaceae,Cunoniaceae,Oxalidales
Cnestidaceae=Connaraceae=Oxalidales,Cnestidaceae,Connaraceae,Oxalidales
Davidsoniaceae=Cunoniaceae=Oxalidales,Davidsoniaceae,Cunoniaceae,Oxalidales
Eucryphiaceae=Cunoniaceae=Oxalidales,Eucryphiaceae,Cunoniaceae,Oxalidales
Spiraeanthemaceae=Cunoniaceae=Oxalidales,Spiraeanthemaceae,Cunoniaceae,Oxalidales
Tetrathecaceae=Elaeocarpaceae=Oxalidales,Tetrathecaceae,Elaeocarpaceae,Oxalidales
Tremandraceae=Elaeocarpaceae=Oxalidales,Tremandraceae,Elaeocarpaceae,Oxalidales
Acanthochlamydaceae=Velloziaceae=Pandanales,Acanthochlamydaceae,Velloziaceae,Pandanales
Barbaceniaceae=Velloziaceae=Pandanales,Barbaceniaceae,Velloziaceae,Pandanales
Croomiaceae=Stemonaceae=Pandanales,Croomiaceae,Stemonaceae,Pandanales
Freycinetiaceae=Pandanaceae=Pandanales,Freycinetiaceae,Pandanaceae,Pandanales
Lacandoniaceae=Triuridaceae=Pandanales,Lacandoniaceae,Triuridaceae,Pandanales
Pentastemonaceae=Stemonaceae=Pandanales,Pentastemonaceae,Stemonaceae,Pandanales
Roxburghiaceae=Stemonaceae=Pandanales,Roxburghiaceae,Stemonaceae,Pandanales
Quintiniaceae=Paracryphiaceae=Paracryphiales,Quintiniaceae,Paracryphiaceae,Paracryphiales
Sphenostemonaceae=Paracryphiaceae=Paracryphiales,Sphenostemonaceae,Paracryphiaceae,Paracryphiales
Japonoliriaceae=Petrosaviaceae=Petrosaviales,Japonoliriaceae,Petrosaviaceae,Petrosaviales
Miyoshiaceae=Petrosaviaceae=Petrosaviales,Miyoshiaceae,Petrosaviaceae,Petrosaviales
Abietaceae=Pinaceae=Pinales,Abietaceae,Pinaceae,Pinales
Acmopylaceae=Podocarpaceae=Pinales,Acmopylaceae,Podocarpaceae,Pinales
Amentotaxaceae=Taxaceae=Pinales,Amentotaxaceae,Taxaceae,Pinales
Arceuthidaceae=Cupressaceae=Pinales,Arceuthidaceae,Cupressaceae,Pinales
Arthrotaxidaceae=Cupressaceae=Pinales,Arthrotaxidaceae,Cupressaceae,Pinales
Austrotaxaceae=Taxaceae=Pinales,Austrotaxaceae,Taxaceae,Pinales
Callitraceae=Cupressaceae=Pinales,Callitraceae,Cupressaceae,Pinales
Cedraceae=Pinaceae=Pinales,Cedraceae,Pinaceae,Pinales
Cephalotaxaceae=Taxaceae=Pinales,Cephalotaxaceae,Taxaceae,Pinales
Cryptomeriaceae=Cupressaceae=Pinales,Cryptomeriaceae,Cupressaceae,Pinales
Cunninghamiaceae=Cupressaceae=Pinales,Cunninghamiaceae,Cupressaceae,Pinales
Dacrycarpaceae=Podocarpaceae=Pinales,Dacrycarpaceae,Podocarpaceae,Pinales
Diselmaceae=Cupressaceae=Pinales,Diselmaceae,Cupressaceae,Pinales
Falcatifoliaceae=Podocarpaceae=Pinales,Falcatifoliaceae,Podocarpaceae,Pinales
Fitzroyaceae=Cupressaceae=Pinales,Fitzroyaceae,Cupressaceae,Pinales
Halocarpaceae=Podocarpaceae=Pinales,Halocarpaceae,Podocarpaceae,Pinales
Juniperaceae=Cupressaceae=Pinales,Juniperaceae,Cupressaceae,Pinales
Libocedraceae=Cupressaceae=Pinales,Libocedraceae,Cupressaceae,Pinales
Metasequioaceae=Cupressaceae=Pinales,Metasequioaceae,Cupressaceae,Pinales
Microbiotaceae=Cupressaceae=Pinales,Microbiotaceae,Cupressaceae,Pinales
Microcachrydaceae=Podocarpaceae=Pinales,Microcachrydaceae,Podocarpaceae,Pinales
Microstrobaceae=Podocarpaceae=Pinales,Microstrobaceae,Podocarpaceae,Pinales
Nageiaceae=Podocarpaceae=Pinales,Nageiaceae,Podocarpaceae,Pinales
Neocallitropsidaceae=Cupressaceae=Pinales,Neocallitropsidaceae,Cupressaceae,Pinales
Parasitaxaceae=Podocarpaceae=Pinales,Parasitaxaceae,Podocarpaceae,Pinales
Pherosphaeraceae=Podocarpaceae=Pinales,Pherosphaeraceae,Podocarpaceae,Pinales
Phyllocladaceae=Podocarpaceae=Pinales,Phyllocladaceae,Podocarpaceae,Pinales
Piceaceae=Pinaceae=Pinales,Piceaceae,Pinaceae,Pinales
Pilgerodendraceae=Cupressaceae=Pinales,Pilgerodendraceae,Cupressaceae,Pinales
Platycladaceae=Cupressaceae=Pinales,Platycladaceae,Cupressaceae,Pinales
Prumnopityaceae=Podocarpaceae=Pinales,Prumnopityaceae,Podocarpaceae,Pinales
Saxegotheaceae=Podocarpaceae=Pinales,Saxegotheaceae,Podocarpaceae,Pinales
Sequoiaceae=Cupressaceae=Pinales,Sequoiaceae,Cupressaceae,Pinales
Taiwaniaceae=Cupressaceae=Pinales,Taiwaniaceae,Cupressaceae,Pinales
Taxodiaceae=Cupressaceae=Pinales,Taxodiaceae,Cupressaceae,Pinales
Tetraclinaceae=Cupressaceae=Pinales,Tetraclinaceae,Cupressaceae,Pinales
Thujaceae=Cupressaceae=Pinales,Thujaceae,Cupressaceae,Pinales
Thujopsidaceae=Cupressaceae=Pinales,Thujopsidaceae,Cupressaceae,Pinales
Torreyaceae=Taxaceae=Pinales,Torreyaceae,Taxaceae,Pinales
Widdringtoniaceae=Cupressaceae=Pinales,Widdringtoniaceae,Cupressaceae,Pinales
Asaraceae=Aristolochiaceae=Piperales,Asaraceae,Aristolochiaceae,Piperales
Lactoridaceae=Aristolochiaceae=Piperales,Lactoridaceae,Aristolochiaceae,Piperales
Peperomiaceae=Piperaceae=Piperales,Peperomiaceae,Piperaceae,Piperales
Abolbodaceae=Xyridaceae=Poales,Abolbodaceae,Xyridaceae,Poales
Aegilopaceae=Poaceae=Poales,Aegilopaceae,Poaceae,Poales
Agrostidaceae=Poaceae=Poales,Agrostidaceae,Poaceae,Poales
Alopecuraceae=Poaceae=Poales,Alopecuraceae,Poaceae,Poales
Andropogonaceae=Poaceae=Poales,Andropogonaceae,Poaceae,Poales
Anomochloaceae=Poaceae=Poales,Anomochloaceae,Poaceae,Poales
Anthoxanthaceae=Poaceae=Poales,Anthoxanthaceae,Poaceae,Poales
Arundinaceae=Poaceae=Poales,Arundinaceae,Poaceae,Poales
Arundinellaceae=Poaceae=Poales,Arundinellaceae,Poaceae,Poales
Asperellaceae=Poaceae=Poales,Asperellaceae,Poaceae,Poales
Avenaceae=Poaceae=Poales,Avenaceae,Poaceae,Poales
Bambusaceae=Poaceae=Poales,Bambusaceae,Poaceae,Poales
Bromaceae=Poaceae=Poales,Bromaceae,Poaceae,Poales
Chaeturaceae=Poaceae=Poales,Chaeturaceae,Poaceae,Poales
Chloridaceae=Poaceae=Poales,Chloridaceae,Poaceae,Poales
Coeleanthaceae=Poaceae=Poales,Coeleanthaceae,Poaceae,Poales
Cynodontaceae=Poaceae=Poales,Cynodontaceae,Poaceae,Poales
Cynosuraceae=Poaceae=Poales,Cynosuraceae,Poaceae,Poales
Echinariaceae=Poaceae=Poales,Echinariaceae,Poaceae,Poales
Ehrhartaceae=Poaceae=Poales,Ehrhartaceae,Poaceae,Poales
Elegiaceae=Restionaceae=Poales,Elegiaceae,Restionaceae,Poales
Eragrostidaceae=Poaceae=Poales,Eragrostidaceae,Poaceae,Poales
Festucaceae=Poaceae=Poales,Festucaceae,Poaceae,Poales
Glyceriaceae=Poaceae=Poales,Glyceriaceae,Poaceae,Poales
Gramineae=Poaceae=Poales,Gramineae,Poaceae,Poales
Holcaceae=Poaceae=Poales,Holcaceae,Poaceae,Poales
Hopkinsiaceae=Anarthriaceae=Poales,Hopkinsiaceae,Anarthriaceae,Poales
Hordeaceae=Poaceae=Poales,Hordeaceae,Poaceae,Poales
Kobresiaceae=Cyperaceae=Poales,Kobresiaceae,Cyperaceae,Poales
Laguraceae=Poaceae=Poales,Laguraceae,Poaceae,Poales
Lepturaceae=Poaceae=Poales,Lepturaceae,Poaceae,Poales
Loliaceae=Poaceae=Poales,Loliaceae,Poaceae,Poales
Lyginiaceae=Anarthriaceae=Poales,Lyginiaceae,Anarthriaceae,Poales
Mapaniaceae=Cyperaceae=Poales,Mapaniaceae,Cyperaceae,Poales
Melicaceae=Poaceae=Poales,Melicaceae,Poaceae,Poales
Miliaceae=Poaceae=Poales,Miliaceae,Poaceae,Poales
Nardaceae=Poaceae=Poales,Nardaceae,Poaceae,Poales
Olyraceae=Poaceae=Poales,Olyraceae,Poaceae,Poales
Ophiuraceae=Poaceae=Poales,Ophiuraceae,Poaceae,Poales
Oryzaceae=Poaceae=Poales,Oryzaceae,Poaceae,Poales
Panicaceae=Poaceae=Poales,Panicaceae,Poaceae,Poales
Pappophoraceae=Poaceae=Poales,Pappophoraceae,Poaceae,Poales
Papyraceae=Cyperaceae=Poales,Papyraceae,Cyperaceae,Poales
Parianaceae=Poaceae=Poales,Parianaceae,Poaceae,Poales
Paspalaceae=Poaceae=Poales,Paspalaceae,Poaceae,Poales
Phalaridaceae=Poaceae=Poales,Phalaridaceae,Poaceae,Poales
Pharaceae=Poaceae=Poales,Pharaceae,Poaceae,Poales
Phleaceae=Poaceae=Poales,Phleaceae,Poaceae,Poales
Prioniaceae=Thurniaceae=Poales,Prioniaceae,Thurniaceae,Poales
Saccharaceae=Poaceae=Poales,Saccharaceae,Poaceae,Poales
